online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,347883810,"BILLY MAN BAJU KEMEJA HEM POLOS PRIA LENGAN PENDEK KEMEJA CASUAL PRIA - Maroon, M",billy-man-baju-kemeja-hem-polos-pria-lengan-pendek-kemeja-casual-pria-maroon-m,fortklass,NEW,49000,64971,1134,4.6,378
tokopedia,755715989,KEMEJA CUBAN HAWAI DYLLON PARIS BLUE HAWAIIAN SHIRT - UNISEX - S,kemeja-cuban-hawai-dyllon-paris-blue-hawaiian-shirt-unisex-s,dyllcoofficial,NEW,150500,90189,1116,4.9,631
tokopedia,1140723599,Kemeja Polos Cowok Lengan Panjang Slimfit | Baju Pria Grandad Black - M,kemeja-polos-cowok-lengan-panjang-slimfit-baju-pria-grandad-black-m,aljosa,NEW,70000,83635,1083,4.5,485
tokopedia,346543849,"Baju Olahraga Lari Gym Fitness - Atalon Solid Short Sleeve - Hitam, M",baju-olahraga-lari-gym-fitness-atalon-solid-short-sleeve-hitam-m,atalonid,NEW,149000,65740,2338,4.9,955
tokopedia,1142899649,Kemeja Polos Pria Short Grandad | Baju Cowok Polosan Kerah Shanghai - M,kemeja-polos-pria-short-grandad-baju-cowok-polosan-kerah-shanghai-m,aljosa,NEW,65500,69139,1073,4.6,430
tokopedia,652269522,Human Greatness T-shirt White - S,human-greatness-t-shirt-white-s,humangreatness,NEW,69000,16996,1022,4.9,478
tokopedia,341802275,"BOYI BAJU KEMEJA POLOS PRIA LENGAN PENDEK KEMEJA COWO KASUAL SLIM FIT - Navy, XS",boyi-baju-kemeja-polos-pria-lengan-pendek-kemeja-cowo-kasual-slim-fit-navy-xs,fortklass,NEW,47000,63477,895,4.4,281
tokopedia,1142893795,Baju Kemeja Polos Pria Lengan Pendek Katun | Kemeja Cowok Distro - XL,baju-kemeja-polos-pria-lengan-pendek-katun-kemeja-cowok-distro-xl,aljosa,NEW,65500,72924,980,4.7,450
tokopedia,363776103,"DAVID BAJU KEMEJA POLOS PRIA LENGAN PANJANG KEMEJA FORMAL COWOK - Putih, L",david-baju-kemeja-polos-pria-lengan-panjang-kemeja-formal-cowok-putih-l,fortklass,NEW,54000,68504,973,4.4,416
tokopedia,1631555641,Kaos Unisex Erigo T-Shirt Sushi Battle Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-sushi-battle-cotton-combed-black-s,erigo,NEW,65000,51206,967,4.9,629
tokopedia,1631524053,Kaos Unisex Erigo T-Shirt Ramen Street Black - S,kaos-unisex-erigo-t-shirt-ramen-street-black-s,erigo,NEW,65000,77052,958,4.8,568
tokopedia,484455265,"KEMEJA PRIA POLOS PANJANG SLIMFIT PUTIH LONG SLEEVE SHIRT - Hitam, XXL",kemeja-pria-polos-panjang-slimfit-putih-long-sleeve-shirt-hitam-xxl,vm-vanmarvell,NEW,110000,55221,913,4.6,367
tokopedia,1634218042,Kaos Unisex Erigo T-Shirt Save Cotton Combed Cream - S,kaos-unisex-erigo-t-shirt-save-cotton-combed-cream-s,erigo,NEW,65000,33017,914,4.8,573
tokopedia,2141589968,"SAMED BAJU KOKO PRIA LENGAN PANJANG BAJU MUSLIM COWOK HITAM PUTIH - Abu-abu, L",samed-baju-koko-pria-lengan-panjang-baju-muslim-cowok-hitam-putih-abu-abu-l,fortklass,NEW,58000,56262,893,4.4,382
tokopedia,1414662163,Raisa x Darbotz Two Sided T-shirt - S,raisa-x-darbotz-two-sided-t-shirt-s,juni-goods,NEW,250000,28449,850,4.9,530
tokopedia,561834416,GT MAN - GTS01 WHITE T-SHIRT - ROUND NECK - XL,gt-man-gts01-white-t-shirt-round-neck-xl,gtmanofficial,NEW,52000,10930,858,4.9,241
tokopedia,2234543682,Kaos krah pria polo shirt pendek - polo shirt polos - M,kaos-krah-pria-polo-shirt-pendek-polo-shirt-polos-m,vm-vanmarvell,NEW,59000,31769,828,4.8,157
tokopedia,1140721685,Kemeja Polos Pria Pink Simple | Baju Pria Lengan Panjang Polos - M,kemeja-polos-pria-pink-simple-baju-pria-lengan-panjang-polos-m,aljosa,NEW,70000,45948,802,4.7,326
tokopedia,418320971,Kaos Polo Shirt Pique CVC KPM Apparel Size XXXL / 3XL,kaos-polo-shirt-pique-cvc-kpm-apparel-size-xxxl-3xl,kaospolosmania,NEW,65000,10613,790,4.9,236
tokopedia,418321312,Kaos Polo Shirt Pique CVC KPM Apparel Size XXXXL / 4XL,kaos-polo-shirt-pique-cvc-kpm-apparel-size-xxxxl-4xl,kaospolosmania,NEW,72000,11560,776,4.9,238
tokopedia,1823058037,Kaos Unisex Erigo T-Shirt Japan Paradise Cotton Combed Navy - S,kaos-unisex-erigo-t-shirt-japan-paradise-cotton-combed-navy-s,erigo,NEW,65000,20903,724,4.8,457
tokopedia,2030553549,"BIRDIE GOLF SHIRT CS39 BLUE - Brick Red, M",birdie-golf-shirt-cs39-blue-brick-red-m,birdie-indonesia,NEW,169000,13544,720,4.9,358
tokopedia,1769379010,Kemeja Kerja Seragam Pns Pria Putih Baju Kerja Atasan Pdh Seragam Pria - S,kemeja-kerja-seragam-pns-pria-putih-baju-kerja-atasan-pdh-seragam-pria-s,bhinekakonveksi,NEW,69000,15731,730,4.8,375
tokopedia,1528737591,"CM Kaos distro pria T-shirt pria Baju pria Atasan pria MARS - HITAM-PUTIH, M",cm-kaos-distro-pria-t-shirt-pria-baju-pria-atasan-pria-mars-hitam-putih-m,camelshopdistro,NEW,22000,22739,698,4.5,322
tokopedia,652239671,Human Greatness T-shirt Navy - S,human-greatness-t-shirt-navy-s,humangreatness,NEW,69000,13679,704,4.9,392
tokopedia,1851456586,"Kaos Agus Lengan Panjang Cowok Atasan Baju Pria Murah Fashion Keren - marun, M",kaos-agus-lengan-panjang-cowok-atasan-baju-pria-murah-fashion-keren-marun-m,queenlabell,NEW,48000,53057,683,4.3,260
tokopedia,1630959011,Kaos Unisex Erigo T-Shirt Dance Dragon Cotton Combed Navy - M,kaos-unisex-erigo-t-shirt-dance-dragon-cotton-combed-navy-m,erigo,NEW,65000,22942,678,4.8,447
tokopedia,1240390409,"Baju Kemeja Polos Lengan Pendek Slimfit | pakaian Cowok Murah - Putih, M",baju-kemeja-polos-lengan-pendek-slimfit-pakaian-cowok-murah-putih-m,aljosa,NEW,65500,26265,689,4.6,282
tokopedia,1649964049,Kaos Unisex Erigo T-Shirt Yami No Hito Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-yami-no-hito-cotton-combed-black-s,erigo,NEW,65000,27291,670,4.9,399
tokopedia,1140305713,"DK Super Light V.2 (Man) T Heather Seamless Anti Viral Atlantis Tosca - SLIM FIT, S",dk-super-light-v-2-man-t-heather-seamless-anti-viral-atlantis-tosca-slim-fit-s,duraking,NEW,109000,36910,667,4.9,461
