online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,2004687499,kaos-unisex-erigo-t-shirt-los-diablos-cotton-combed-black-s,erigo,6753,248,4.9,124,Atas
tokopedia,1633873872,kaos-unisex-erigo-t-shirt-the-walking-cotton-combed-burgundy-m,erigo,7497,263,4.8,183,Atas
tokopedia,1636024520,kaos-unisex-erigo-t-shirt-hulala-dark-cotton-combed-grey-s,erigo,14639,264,4.9,170,Atas
tokopedia,2013615744,kaos-olahraga-badmintonrunning-gym-fitness-frasser-windstorm-hitam-xl,grosirolahraga1,10703,267,4.6,157,Atas
tokopedia,1649953593,kaos-unisex-erigo-t-shirt-sushi-mermaid-cotton-combed-emerald-s,erigo,15499,265,4.9,183,Atas
tokopedia,1673660833,kaos-unisex-erigo-t-shirt-surf-addict-cotton-combed-navy-m,erigo,11389,265,4.9,159,Atas
tokopedia,1631228528,kaos-unisex-erigo-t-shirt-manjusri-cotton-combed-black-s,erigo,10853,262,4.8,165,Atas
tokopedia,1845836860,kaos-unisex-erigo-t-shirt-jump-shot-cotton-combed-maroon-m,erigo,8070,263,4.9,185,Atas
tokopedia,2010228521,matsuda-kaos-polo-shirt-pria-kerah-bizen-3t-yellow-m,matsudaapparel,8281,241,4.9,137,Atas
tokopedia,1631246963,kaos-unisex-erigo-t-shirt-kikai-black-cotton-combed-s,erigo,13820,257,4.9,168,Atas
tokopedia,1630944087,kaos-unisex-erigo-t-shirt-astro-black-cotton-combed-s,erigo,14204,257,4.9,170,Atas
tokopedia,1636129940,kaos-unisex-erigo-t-shirt-piston-snake-cotton-combed-black-s,erigo,8331,251,4.9,165,Atas
tokopedia,1125601708,dk-super-light-v2-man-t-heather-seamless-anti-viral-dusty-blue-regular-fit-s,duraking,15081,251,4.8,166,Atas
tokopedia,1125650145,dk-super-light-v2-man-t-heather-seamless-anti-viral-lime-stone-regular-fit-s,duraking,14091,250,4.9,151,Atas
tokopedia,1936808036,kaos-singlet-kutungan-olahraga-badminton-frasser-windstorm-abu-m,grosirolahraga1,8547,249,4.7,158,Atas
tokopedia,1486279346,kaos-polos-kaos-pria-baju-pria-atasan-pria-kaos-premium-cotton-black-s,dailystuffjakarta1,2223,219,4.8,57,Atas
tokopedia,1209251203,kaos-pria-v-neck-hicoop-men-hl-07-t-shirt-1-in-1-l,hicoop-store,8581,248,4.8,85,Atas
tokopedia,1462273727,kemeja-batik-pria-lengan-pendek-baju-atasan-seragam-kerja-kantor-batik-navy-m,dafinabatik,6568,246,4.5,29,Atas
tokopedia,1626070163,kemeja-unisex-erigo-short-shirt-aliza-katun-navy-s,erigo,14860,243,4.8,169,Atas
tokopedia,1633370682,kaos-unisex-erigo-t-shirt-drag-way-cotton-combed-black-s,erigo,10060,245,4.9,170,Atas
tokopedia,1921286043,hanung-baju-batik-pria-atasan-katun-furing-s,martobatik,114,244,5.0,2,Atas
tokopedia,1942811832,kemeja-lengan-pendek-polos-baju-casual-pria-panjang-slim-kemeja-biru-m,brotherholicstor,26520,244,4.6,110,Atas
tokopedia,1636047991,kaos-unisex-erigo-t-shirt-rose-and-skull-cotton-combed-burgundy-s,erigo,7451,237,4.7,160,Atas
tokopedia,1631658201,kaos-unisex-erigo-t-shirt-stripe-aseo-cotton-combed-mustard-s,erigo,7185,227,4.9,132,Atas
tokopedia,668421912,baju-pdl-biru-dongker-navy-kemeja-pdh-baju-pns-baju-lapangan,antonioclothing,10489,240,5.0,47,Atas
tokopedia,1633340490,kaos-unisex-erigo-t-shirt-enjoy-land-cotton-combed-navy-s,erigo,10045,236,4.9,175,Atas
tokopedia,1631602638,kaos-unisex-erigo-t-shirt-smile-cotton-combed-maroon-s,erigo,6863,239,4.8,142,Atas
tokopedia,1634408640,kemeja-pria-lengan-pendek-cowok-baju-cream-hem-krem-murah-grosir-top-cream-m,wishakaofficial,4995,232,4.5,82,Atas
tokopedia,1631660175,kaos-unisex-erigo-t-shirt-stripe-eleora-cotton-combed-maroon-s,erigo,6368,239,4.9,162,Atas
tokopedia,720476790,kemeja-pria-cuban-hawai-dyllon-columbia-hawaiian-shirt-xl,dyllcoofficial,21809,235,4.8,128,Atas
tokopedia,354163503,polo-shirt-pria-lacost-black-maroon-kaos-cowok-kerah-pendek-sanghai-maroon-xl,brotherholicstor,13052,238,4.7,84,Atas
tokopedia,1051218802,atasan-kaos-cowok-harvest-lengan-panjang-baju-pria-fashion-motif-salur-mustard,queenlabell,17067,236,4.4,94,Atas
tokopedia,1631633052,kaos-unisex-erigo-t-shirt-stripe-kenny-cotton-combed-white-navy-s,erigo,6716,237,4.9,151,Atas
tokopedia,1781919422,cm-kaos-distro-pria-t-shirt-pria-baju-pria-atasan-pulau-indonesia-ii-hitam-gold-m,camelshopdistro,7333,233,4.5,120,Atas
tokopedia,1967368012,kaos-pria-kizaru-t-shirt-anime-monkey-d-luffy-snakeman-m,kizaruworld,10499,233,5.0,165,Atas
tokopedia,1626088436,kemeja-unisex-erigo-short-shirt-baram-katun-cream-s,erigo,9980,233,4.6,140,Atas
tokopedia,1630991690,kaos-unisex-erigo-t-shirt-check-wave-cotton-combed-black-s,erigo,10033,232,4.9,158,Atas
tokopedia,1730679402,kaos-unisex-erigo-t-shirt-salmon-street-cotton-combed-black-s,erigo,8295,230,4.8,145,Atas
tokopedia,1631245005,kaos-unisex-erigo-t-shirt-national-cotton-combed-cream-s,erigo,7702,231,4.8,146,Atas
tokopedia,762440444,tiento-polo-shirt-true-basic-hdc-grey-baju-kaos-kerah-lengan-pendek-m,tiento,14506,229,4.9,152,Atas
tokopedia,609548268,kale-arthur-kaos-pria-kale-clothing-t-shirt-cotton-premium-navy-s,kaleclothing,6051,228,5.0,156,Atas
tokopedia,651155878,human-greatness-t-shirt-bleached-aqua-s,humangreatness,6697,229,4.9,140,Atas
tokopedia,1901912813,kaos-unisex-erigo-t-shirt-king-ali-cotton-combed-cream-s,erigo,7159,224,4.9,125,Atas
tokopedia,1649956905,kaos-unisex-erigo-t-shirt-toyama-club-cotton-combed-cream-m,erigo,11643,227,4.9,146,Atas
tokopedia,1673660777,kaos-unisex-erigo-t-shirt-kubuta-cotton-combed-cream-s,erigo,7539,228,4.8,142,Atas
tokopedia,762427385,tiento-polo-shirt-true-basic-hdc-navy-baju-kaos-kerah-lengan-pendek-xl,tiento,19598,228,4.9,160,Atas
tokopedia,1611557979,t-shirt-baju-kaos-running-atasan-olahraga-pria-dri-fit-3090-xl,mjpsport,8738,222,4.9,115,Atas
