online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1296456776,kaos-atasan-wanita-pria-tie-dye-pe-rayon-t-shirt-tie-dye-grosir-bubblegum,-alverostore,3300,37,4.5,8,Menengah
tokopedia,1245271429,colorbox-basic-long-sleeves-shirt-i-blwkey120f010-black-black-s,colorboxid,3703,40,4.9,22,Menengah
tokopedia,397222815,blouse-baju-atasan-kemeja-wanita-korea-style-kaos-shirt-0471-exs,dai5o,11560,41,4.2,24,Menengah
tokopedia,1381925787,baju-atasan-kemeja-wanita-model-korea-terbaru-lengan-panjang-polos-hem-mustard,kembarshoponline,5466,41,4.1,18,Menengah
tokopedia,267468574,60382-adelia-tunic-baju-tunik-murah-atasan-muslim-wanita-murah,glorypurpleshop,11034,41,4.7,11,Menengah
tokopedia,35983839,kemeja-vintage-pakaian-korea-dress-celana-atasan-baju-kerja-wanita-new,fashionkorea8,19794,41,4.1,24,Menengah
tokopedia,1376855046,lee-vierra-inner-muslim-baju-dalaman-muslim-hita-grey-m,leevierra,2843,40,4.8,22,Menengah
tokopedia,642852484,gucci-kotak-atasan-baju-sweater-rajut-wanita-premium-import-cokelat,nia1189,7222,40,4.8,22,Menengah
tokopedia,1314682733,kaos-wanita-salur-pendek-aline-atasan-wanita-baju-wanita-l-navy,kaoskatoen,1571,40,4.6,13,Menengah
tokopedia,1608981624,zoya-mazlina-tunik-baju-atasan-wanita-xs,zoya,2208,38,5.0,21,Menengah
tokopedia,1722549518,tomoko-shirt-black-lookboutiquestore-l,lbs-store,1692,40,4.9,17,Menengah
tokopedia,1951380276,baju-atasan-wanita-jumbo-motif-baju-bigsize-to-xxxxl-tgn-pdk-navy-jumbo-ld-142cm,vk-shop-99,470,39,4.9,22,Menengah
tokopedia,1950970597,kaos-oversize-wanita-baju-jumbo-tshirt-cewek-atasan-lucu-oblong-santai-salem,fashionwanitapilomall,1138,40,4.8,18,Menengah
tokopedia,360703797,kemeja-syahrini-putih-baju-atasan-wanita-0140-rkn,supermodel-tkpd,9060,40,3.9,10,Menengah
tokopedia,755624352,baju-batik-couple-atasan-pria-dan-wanita-batik-hem-blouse,lautanbatik,2429,40,4.9,14,Menengah
tokopedia,1203431669,kaos-wanita-polos-v-neck-baju-atasan-cewek-bodyfit-strech-adem-impor-blue,mqstoreofficial,4131,38,4.7,17,Menengah
tokopedia,1929716926,blouse-wanita-baju-batik-imlek-nila-cheongsam-top-bahan-katun-pink,frairecollection,5724,40,5.0,24,Menengah
tokopedia,261871115,putriani-top-atasan-baju-kaos-wanita-lengan-panjang-adem-terlaris,isheta,4218,39,4.1,9,Menengah
tokopedia,1922807355,miniletics-speed-up-tank-tank-top-olahraga-wanita-lilac-s,miniletics,1242,35,5.0,12,Menengah
tokopedia,635678558,monellina-90121-baju-blouse-pastel-atasan-xxl-jumbo-murah-wanita-hitam-l,monellinafashion,4783,40,4.8,16,Menengah
tokopedia,975456203,baju-atasan-pesta-wanita-hitam-jumbo-bodir-seragaman-big-size,gheenara,2727,40,4.9,15,Menengah
tokopedia,422405813,outer-baju-blazer-batik-wanita-outerwear-atasan-murah-kerja-formal-cew,callialeilani,5270,39,4.8,20,Menengah
tokopedia,1443675864,fashion-pakaian-baju-atasan-dress-wanita-lengan-panjang-fashion-fit-l-dusty-pink-l,sobo-01,8130,39,4.5,20,Menengah
tokopedia,2083899043,wearing-klamby-billie-shirt-in-black-s,wearing-klamby,5233,38,4.8,22,Menengah
tokopedia,1961243328,baju-atasan-kemeja-wanita-jumbo-big-size-xxxl-ld-120-motif-bunga-hitam,bellebutik,797,35,4.8,5,Menengah
tokopedia,1613311963,kaos-oversize-wanita-korea-atasan-tumblr-tee-t-shirt-jumbo-oblong-lucu-pita-putih,fashionwanitapilomall,822,38,4.5,13,Menengah
tokopedia,324672776,simply-plain-basic-shirt-kemeja-kerja-polos-wanita-bl1005-cream,myyoora,8648,39,4.3,16,Menengah
tokopedia,850259860,mango-t-shirt-chemabil-salmon-xs,mango,8082,39,4.7,13,Menengah
tokopedia,601578563,blouse-batik-kantoran-sogan-baju-batik-atasan-kerja-wanita,batikturambi,5748,29,4.6,10,Menengah
tokopedia,1737528351,baju-olah-raga-wanita-lengan-panjang-atasan-sport-lubang-jari-10-warna-s-merah,planqueen,1137,38,4.9,17,Menengah
tokopedia,1691202033,baju-atasan-wanita-oversize-jordie-kaos-tie-dye-wanita-jumbo-merah,henshop15,1891,38,4.1,17,Menengah
tokopedia,1960082504,435-dress-batik-super-jumbo-bigsize-baju-atasan-wanita-big-size-vol-9-566bqp-red,paphika,3654,39,4.9,15,Menengah
tokopedia,1745259138,atasan-baju-tunik-batik-wanita-cewe-super-jumbo-big-size-ld-140-murah-motif-random-all-size,batikagong,1573,39,4.9,13,Menengah
tokopedia,2146096826,daster-midi-dress-santai-baju-tidur-piyama-atasan-batik-bpt002-130-warna-a,alhadi,1413,39,4.7,13,Menengah
tokopedia,818178929,dress-bolero-baju-atasan-kerja-wanita-tunik-batik-bolero-outer-motif-a,ellengroup,11628,39,4.7,21,Menengah
tokopedia,1717521592,styles-fashion-baju-kaos-bts-atasan-wanita-print-bts-cooky-t-shirt-putih-m,stylesfashionn,838,39,4.6,8,Menengah
tokopedia,433832651,fashion-wanita-baju-atasan-blouse-batwing-wanita-terbaru-andini-knit,akcstore,5889,38,3.3,13,Menengah
tokopedia,596983187,monellina-fashion-baju-blouse-atasan-busui-xxl-jumbo-murah-wanita-9301-hitam-l,monellinafashion,6145,38,4.8,17,Menengah
tokopedia,795801835,dress-baju-atasan-batik-kerja-kantor-wanita-cewek-modern-murah-0106,olinashop-2,15255,37,4.5,18,Menengah
tokopedia,1104303879,tanktop-snowglit-import-baju-atasan-wanita-0141-sge-pink-muda,supermodel-tkpd,3715,38,4.7,13,Menengah
tokopedia,1899204526,baju-atasan-wanita-polos-jumbo-bigsize-tangan-panjang-maroon,vk-shop-99,1697,38,4.8,13,Menengah
tokopedia,1722553002,tomoko-shirt-white-lookboutiquestore-l,lbs-store,2615,38,5.0,15,Menengah
tokopedia,2030231970,delova-blouse-baju-atasan-wanita-blouse-jumbo-big-size-medium-import-pink-m,agengrosirmurahh,3249,36,4.6,23,Menengah
tokopedia,1765417071,fortunesong-baju-camisole-atasan-wanita-renda-bahan-viscose-katun-l,fortune-song,374,36,4.6,14,Menengah
tokopedia,1467544500,sweet-honey-baju-setelan-tie-dye-crop-top-amanda-wanita-motif-tiedye-ma09,sweethoney,2247,38,4.9,17,Menengah
tokopedia,943075629,import-woman-winter-turtleneck-knit-top-baju-rajut-wanita-musim-dingin-biru-muda,wintersonmul,4257,38,5.0,19,Menengah
tokopedia,1625058498,promo-baju-kemeja-yurena-crop-top-wanita-korea-motif-kotak-kotak-murah-biru,jeantboutique,4862,38,4.8,12,Menengah
tokopedia,1086944881,baju-atasan-muslim-wanita-le-najwa-lidya-blouse-tunik-tie-dye-militiary-olive,lenajwa,9917,38,4.9,23,Menengah
