online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,474810067,tank top import wanita/baju dalaman wanita import/tank top leaves - Merah Muda,tank-top-import-wanita-baju-dalaman-wanita-import-tank-top-leaves-merah-muda,choosemee,NEW,120000,3624,377,5,12
tokopedia,2233192073,"Daster Midi, Dress Santai, Baju Tidur, Piyama, Atasan Batik-BPT002-13 - BPT002-320F",daster-midi-dress-santai-baju-tidur-piyama-atasan-batik-bpt002-13-bpt002-320f,alhadi,NEW,15500,18105,381,4.7,97
tokopedia,363243784,Gita overall baju atasan wanita tunik baju tunik baju atasan tunik,gita-overall-baju-atasan-wanita-tunik-baju-tunik-baju-atasan-tunik,shalsabillastore,NEW,66600,8771,373,4.8,44
tokopedia,1866226805,Baju Wanita Kaos Wanita Atasan Wanita Jumbo Oversize Love You Me - PINK,baju-wanita-kaos-wanita-atasan-wanita-jumbo-oversize-love-you-me-pink,laveinc,NEW,18900,9807,397,4.3,145
tokopedia,1277254668,"baju atasan blouse wanita lengan panjang variasi pita style korea - Hitam, M",baju-atasan-blouse-wanita-lengan-panjang-variasi-pita-style-korea-hitam-m,gjfsh,NEW,62900,39389,364,4.7,208
tokopedia,354954985,Baju Atasan Wanita Cardigan Wanita Kantong 747 - Hitam,baju-atasan-wanita-cardigan-wanita-kantong-747-hitam,elfirafashion,NEW,64900,6463,361,5,118
tokopedia,681532280,Atasan batwing jumbo Putih [Baju Atasan Wanita 0140] TA1A,atasan-batwing-jumbo-putih-baju-atasan-wanita-0140-ta1a,supermodel-tkpd,NEW,56000,70956,362,4.1,198
tokopedia,1767541816,Vebiola dress baju atasan wanita terbaru baju wanita terbaru tunik - Cokelat,vebiola-dress-baju-atasan-wanita-terbaru-baju-wanita-terbaru-tunik-cokelat,moderntren,NEW,86500,6033,357,5,38
tokopedia,1767427050,Madona tunik baju atasan wanita tunik baju tunik baju atasan tunik - Abu-abu,madona-tunik-baju-atasan-wanita-tunik-baju-tunik-baju-atasan-tunik-abu-abu,moderntren,NEW,89900,3746,352,4.9,37
tokopedia,354961736,Baju Atasan Wanita / Blouse Wanita Lengan Panjang 492 - Hitam,baju-atasan-wanita-blouse-wanita-lengan-panjang-492-hitam,elfirafashion,NEW,67900,5243,349,5,117
tokopedia,1597032975,manset kaos wanita / atasan baju dalaman / manset Termurah - kuning gold,manset-kaos-wanita-atasan-baju-dalaman-manset-termurah-kuning-gold,windzigallery,NEW,19500,4430,345,4.8,82
tokopedia,1714630829,Lady top laser cut baju atasan wanita terbaru atasan wanita muslim 2 - Hitam,lady-top-laser-cut-baju-atasan-wanita-terbaru-atasan-wanita-muslim-2-hitam,tumblr,NEW,71820,9103,344,4.8,37
tokopedia,1562915822,"baju tunik murah/atasan muslim wanita/siva long tunik/gl66132 - XL, MAROON",baju-tunik-murah-atasan-muslim-wanita-siva-long-tunik-gl66132-xl-maroon,glorypurpleshop,NEW,66000,39212,344,4.5,77
tokopedia,618169572,malika tunik baju atasan wanita tunik baju tunik baju atasan tunik - Abu-abu,malika-tunik-baju-atasan-wanita-tunik-baju-tunik-baju-atasan-tunik-abu-abu,tumblr,NEW,66000,9369,343,4.8,40
tokopedia,1140142442,"Baju atasan tunik jumbo wanita murah Mina ukuran L XL XXL XXXL 4XL - Black, L",baju-atasan-tunik-jumbo-wanita-murah-mina-ukuran-l-xl-xxl-xxxl-4xl-black-l,maillfashion,NEW,55000,21521,339,4.5,143
tokopedia,1134626577,"Baju Atasan Jumbo - Tunik - Baju Batik Wanita - Baju Kantor - Kuning, XS",baju-atasan-jumbo-tunik-baju-batik-wanita-baju-kantor-kuning-xs,batikkevin,NEW,117000,40043,339,4.9,121
tokopedia,1747247047,kimonosia Yukky ruffle baju atasan wanita tunik baju tunik baju atasan - Putih,kimonosia-yukky-ruffle-baju-atasan-wanita-tunik-baju-tunik-baju-atasan-putih,tumblr,NEW,42300,3689,336,4.9,35
tokopedia,2244527991,Blouse Batik Super Jumbo 445 Bigsize Baju Atasan Wanita Big Size vol18 - 445JQW Purple,blouse-batik-super-jumbo-445-bigsize-baju-atasan-wanita-big-size-vol18-445jqw-purple,paphika,NEW,78000,35136,336,4.9,124
tokopedia,663568584,Baju Tunik Wanita Terbaru Zelda - Emikoawa Atasan Baju Kerja Korea - ANGGUR,baju-tunik-wanita-terbaru-zelda-emikoawa-atasan-baju-kerja-korea-anggur,emikoawa,NEW,82650,156941,982,4.8,515
tokopedia,988194147,FortKlass ZOYA CROP Baju Atasan Blouse Wanita Lengan Pendek Bluse Cewe - Hitam,fortklass-zoya-crop-baju-atasan-blouse-wanita-lengan-pendek-bluse-cewe-hitam,fortklass,NEW,30000,48105,350,4,157
tokopedia,1171889673,"Baju Atasan Wanita Terbaru Salwa Tunik Termurah |tunik jumbo | tunik - Army, L",baju-atasan-wanita-terbaru-salwa-tunik-termurah-tunik-jumbo-tunik-army-l,dalelahijab,NEW,45990,41614,327,4.4,182
