online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,1933762316,baju koko kurta dewasa lengan pendek material catton  adem serap keringat,114959783,KOTA PEKALONGAN,False,55000,31959,4.73,4435,6859
shopee,389921583,baju kaos polos black solid lengan panjang cotton combed 30s cowok cewek,29114576,KOTA BANDUNG,False,37400,31744,4.74,36616,14294
shopee,5954334040,asy kaos pria ii kaos distro sablon digital berkualitas bisa unisex 011,210651172,KOTA JAKARTA BARAT,False,25500,31739,4.54,27474,6607
shopee,2159782997,koko syubbanul muslimin koko azzahir koko baju,31635215,KAB. PEKALONGAN,False,16000,31711,4.37,18194,402
shopee,1628086832,1-8 tahun s grosir baju kaos distro jepang anak laki laki cowok perempuan biru three point,989272,KOTA BANDUNG,False,3572,31686,4.86,2536,3844
shopee,6100036837,koko syubbanul muslimin koko azzahir koko baju,182134762,KAB. PEKALONGAN,False,9900,31350,4.56,4987,9956
shopee,3259470135,baju koko kurta dewasa lengan pendek material catton  adem serap keringat,43181845,KAB. PEKALONGAN,False,49000,31135,4.71,6595,7270
shopee,7339068320,kaos off white - full tag/kaos jepang / kaos katun / kaos distro / kaos pria / hnm / h&m,157666757,KOTA BANDUNG,False,49300,31005,4.71,20188,2454
shopee,2666487,kaos polo shirt pria baju kerah berkerah lengan pendek,1237139,KOTA SURAKARTA (SOLO),False,33000,30503,4.76,2315,5054
shopee,252842699,kaos distro murah pria/wanita dewasa/anak babatox big size l xl xxl,2737645,KOTA BANDUNG,False,12500,30321,4.29,4058,10204
shopee,60859175,baju kaos polos pria gildan softstyle 63000 import original size s-m-l-xl-xxl murah,9440165,KOTA JAKARTA SELATAN,False,33000,29188,4.74,441,3303
shopee,2362429721,baju batik pria abadi batik kemeja batik pria lengan pendek,83517865,KOTA PEKALONGAN,False,36000,29164,4.7,62673,3082
shopee,8068552635,kaos nasa h&m original  uniqlo  pria  distro  oversize  atasan  baju,469959627,KOTA BANDUNG,False,49500,28931,4.66,407333,57001
shopee,3263638773,baju koko kurta dewasa lengan pendek material catton  adem serap keringat,41255272,KOTA PEKALONGAN,False,12900,28569,4.5,7845,1352
