online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,5057849896,paket usaha baju import super premium grade a++ branded 20pcs uniqlo zara hnm blouse kemeja rajut dress blazer,211458778,KOTA JAKARTA BARAT,False,299900,178,4.65,9922,398
shopee,8006142970,t-shirt lebaran lengan panjang muslimah stop dreaming navy dusty putih / kaos baju tumblr tee,85890646,KOTA JAKARTA TIMUR,False,33900,178,4.91,983,86
shopee,9815680530,otin fashion - atasan nom nom nom  asli jumbo baju kaos - big size  - konveksi murah,8409175,KOTA JAKARTA UTARA,False,13500,178,4.6,11899,87
shopee,2340897877,haymeestore atasan couple polos wanita baju kantor lengan panjang cewek formal atasan casual,133521062,KAB. PEKALONGAN,False,37000,178,4.57,716,98
shopee,10012773001,h&m shortsleeve blouse - blouse lengan pendek - baju santai,276555446,KOTA TANGERANG,False,47900,178,4.76,5220,273
shopee,6954524714,kaos polos wanita vneck lengan panjang spandek / baju polos cewe tangan panjang / daily tees oblong,204535329,KOTA JAKARTA UTARA,False,23900,178,4.67,2165,41
shopee,7576072234,baju kaos wanita lengan panjang murah kaos lengan panjang wanita cewek kekinian terbaru stradivarius,344035758,KOTA JAKARTA BARAT,False,35900,178,4.61,513,51
shopee,11441116522,blouse korea - akira blouse - atasan wanita - pakaian terlaris - korean style - pakaian wanita - blouse - casual blouse,157700196,KAB. BANDUNG,False,49999,177,4.71,19435,560
shopee,3562713552,kaos baju polos cewek lengan panjang hitam putih cewek wanita cotton combed 30s jumbo oversize murah,6560282,KOTA JAKARTA BARAT,False,38500,177,4.93,658,62
shopee,3977802403,promo terlaris  manset baju wanita murah - manset pria olahraga- dalaman baju spandek,376389046,KOTA SURABAYA,False,11900,177,4.79,342,11
shopee,4461889721,be happy kuning mustard  baju kaos tshirt tumblr tee bershka,6369968,KOTA JAKARTA UTARA,False,28000,177,4.92,1368,30
shopee,9209528760,baju manset jumbo baju manset kaos rayon pe xxxl,162364347,KAB. BOGOR,False,26875,177,4.69,545,25
shopee,3394154125,cod cubi top atasan blouse mix katun kotak korean style fashion muslim wanita termurah terlaris,47415775,KOTA BANDUNG,False,38900,176,4.79,1357,126
shopee,7385229422,kaos nezuko kamado demon slayer kimetsu no yaiba baju jepang t-shirt anime kaos distro sevendays,228465733,KAB. JEMBER,False,37760,176,4.88,1976,271
shopee,7163953704,baju santai / kaos santai / baju lengan panjang / baju murah / baju trend / atasan / kaos / tshirt,288435053,KOTA JAKARTA BARAT,False,32000,176,4.86,902,54
shopee,13310732427,puffy knit blouse - atasan rajut wanita - turtleneck top lengan panjang,332848392,KOTA JAKARTA BARAT,False,79500,176,4.98,26880,1055
shopee,7249823112,manset baju dalaman jumbo xxl/xxxl bahan spandek rayon superpremium,125254408,KOTA BANDUNG,False,34900,176,4.92,122,25
shopee,3836417667,afisha  tunik jumbo ld 120 xxxl baju muslim wanita jumbo pendek  afs115,132349326,KAB. BANDUNG BARAT,False,74900,176,4.96,873,184
shopee,6979436111,tunik atasan syafa  tunik wanita terbaru,123923074,KAB. BANDUNG,False,64900,176,4.58,1950,418
shopee,8382183256,godiva96 - blouse lucy / baju atasan wanita medan,151245061,KOTA MEDAN,False,15000,175,4.19,3202,45
shopee,3337989879,4r baju wanita rajut vneck lengan pendek,237661573,KOTA JAKARTA BARAT,False,23500,175,4.75,853,64
